"GEO_ID","NAME","P009001","P009002","P009003","P009004","P009005","P009006","P009007"
"id","Label for GEO_ID","Total races tallied","Total races tallied!!White alone or in combination with one or more other races","Total races tallied!!Black or African American alone or in combination with one or more other races","Total races tallied!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied!!Asian alone or in combination with one or more other races","Total races tallied!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied!!Some other race alone or in combination with one or more other races"
"0500000US06083","Santa Barbara County, California","417641","305228","11374","8880","20886","1561","69712"
"0500000US06085","Santa Clara County, California","1766438","969182","56596","22648","462261","11957","243794"
"0500000US06087","Santa Cruz County, California","267735","201777","3771","5296","11916","1054","43921"
"0500000US06089","Shasta County, California","169244","151083","1818","7829","3938","451","4125"
"0500000US06091","Sierra County, California","3646","3433","12","111","22","9","59"
"0500000US06093","Siskiyou County, California","46010","40074","726","2747","701","130","1632"
"0500000US06095","Solano County, California","422388","241714","65428","7890","60724","6051","40581"
"0500000US06097","Sonoma County, California","478858","390660","9282","11038","19030","2186","46662"
"0500000US06099","Stanislaus County, California","472713","330141","14187","11241","24464","3567","89113"
"0500000US06101","Sutter County, California","82794","56027","1858","2335","10256","340","11978"
"0500000US06103","Tehama County, California","58068","49324","493","2130","662","125","5334"
"0500000US06105","Trinity County, California","13611","12120","67","1049","114","49","212"
"0500000US06107","Tulare County, California","385584","228348","7231","9314","14551","941","125199"
"0500000US06109","Tuolumne County, California","56175","50228","1240","1875","652","219","1961"
"0500000US06111","Ventura County, California","784654","552424","18240","13270","48856","3502","148362"
"0500000US06113","Yolo County, California","178011","121479","4378","3752","19737","1069","27596"
"0500000US06115","Yuba County, California","64044","45559","2433","3141","5369","306","7236"
"0500000US08001","Adams County, Colorado","377277","292212","12848","7707","13965","989","49556"
"0500000US08003","Alamosa County, Colorado","15600","11170","194","571","189","46","3430"
"0500000US08005","Arapahoe County, Colorado","504595","402871","42379","6948","23192","1354","27851"
"0500000US08007","Archuleta County, Colorado","10161","8993","55","234","40","6","833"
"0500000US08009","Baca County, Colorado","4598","4313","5","116","9","4","151"
"0500000US08011","Bent County, Colorado","6233","4977","232","207","53","0","764"
"0500000US08013","Boulder County, Colorado","298005","263618","3484","3451","10887","459","16106"
"0500000US08015","Chaffee County, Colorado","16524","15030","274","316","97","11","796"
"0500000US08017","Cheyenne County, Colorado","2245","2086","11","24","3","0","121"
"0500000US08019","Clear Creek County, Colorado","9439","9090","39","122","59","6","123"
"0500000US08021","Conejos County, Colorado","8715","6389","29","218","29","11","2039"
"0500000US08023","Costilla County, Colorado","3856","2398","43","150","50","13","1202"
"0500000US08025","Crowley County, Colorado","5621","4675","392","200","53","1","300"
"0500000US08027","Custer County, Colorado","3566","3411","20","74","21","0","40"
"0500000US08029","Delta County, Colorado","28367","26177","178","471","149","12","1380"
"0500000US08031","Denver County, Colorado","576877","378715","67375","12187","19015","1350","98235"
"0500000US08033","Dolores County, Colorado","1876","1785","6","48","9","4","24"
"0500000US08035","Douglas County, Colorado","179314","166139","2246","1447","5593","319","3570"
"0500000US08037","Eagle County, Colorado","42482","36308","189","431","446","48","5060"
"0500000US08039","Elbert County, Colorado","20243","19257","170","284","142","34","356"
"0500000US08041","El Paso County, Colorado","539087","436548","39993","10493","18559","2546","30948"
"0500000US08043","Fremont County, Colorado","47046","42099","2560","1215","313","61","798"
"0500000US08045","Garfield County, Colorado","44650","40135","309","582","309","66","3249"
"0500000US08047","Gilpin County, Colorado","4852","4573","35","94","42","11","97"
"0500000US08049","Grand County, Colorado","12590","11979","76","103","114","14","304"
"0500000US08051","Gunnison County, Colorado","14200","13498","95","197","110","12","288"
"0500000US08053","Hinsdale County, Colorado","794","773","1","14","2","0","4"
"0500000US08055","Huerfano County, Colorado","8167","6632","238","361","43","10","883"
"0500000US08057","Jackson County, Colorado","1599","1537","4","22","4","0","32"
"0500000US08059","Jefferson County, Colorado","539370","487916","6464","7772","14946","908","21364"
"0500000US08061","Kiowa County, Colorado","1635","1568","8","28","1","1","29"
"0500000US08063","Kit Carson County, Colorado","8086","7059","146","75","31","4","771"
"0500000US08065","Lake County, Colorado","8021","6250","25","169","46","5","1526"
"0500000US08067","La Plata County, Colorado","44989","39236","256","3039","326","48","2084"
"0500000US08069","Larimer County, Colorado","257381","235127","2434","3506","5169","483","10662"
"0500000US08071","Las Animas County, Colorado","15813","13104","84","563","99","49","1914"
"0500000US08073","Lincoln County, Colorado","6188","5343","315","106","37","4","383"
"0500000US08075","Logan County, Colorado","20808","19064","469","222","111","31","911"
"0500000US08077","Mesa County, Colorado","118729","109504","799","2103","978","225","5120"
"0500000US08079","Mineral County, Colorado","851","823","3","20","0","3","2"
"0500000US08081","Moffat County, Colorado","13427","12565","53","237","71","6","495"
"0500000US08083","Montezuma County, Colorado","24410","20006","80","2993","74","33","1224"
"0500000US08085","Montrose County, Colorado","34303","30793","158","717","204","42","2389"
"0500000US08087","Morgan County, Colorado","27867","22238","147","379","105","74","4924"
"0500000US08089","Otero County, Colorado","20927","16592","200","499","193","34","3409"
"0500000US08091","Ouray County, Colorado","3816","3668","6","79","26","5","32"
"0500000US08093","Park County, Colorado","14809","14054","110","283","100","20","242"
"0500000US08095","Phillips County, Colorado","4542","4223","16","41","27","3","232"
"0500000US08097","Pitkin County, Colorado","15087","14214","96","98","224","20","435"
"0500000US08099","Prowers County, Colorado","14833","11687","57","292","71","7","2719"
"0500000US08101","Pueblo County, Colorado","146445","116627","3295","3638","1344","247","21294"
"0500000US08103","Rio Blanco County, Colorado","6097","5788","26","98","24","3","158"
"0500000US08105","Rio Grande County, Colorado","12767","9497","48","256","48","7","2911"
"0500000US08107","Routt County, Colorado","19954","19312","53","208","128","40","213"
"0500000US08109","Saguache County, Colorado","6103","4386","17","198","37","4","1461"
"0500000US08111","San Juan County, Colorado","563","545","0","7","1","2","8"
"0500000US08113","San Miguel County, Colorado","6668","6239","26","82","67","7","247"
"0500000US08115","Sedgwick County, Colorado","2804","2539","19","20","26","3","197"
"0500000US08117","Summit County, Colorado","24073","22087","180","218","287","27","1274"
"0500000US08119","Teller County, Colorado","21008","19899","163","415","208","29","294"
"0500000US08121","Washington County, Colorado","4969","4780","3","50","14","7","115"
"0500000US08123","Weld County, Colorado","185939","152137","1457","2911","2246","377","26811"
"0500000US08125","Yuma County, Colorado","9961","9380","24","80","13","8","456"
"0500000US09001","Fairfield County, Connecticut","905603","715999","95831","4370","32785","1045","55573"
"0500000US09003","Hartford County, Connecticut","878298","672946","108430","5432","24053","1233","66204"
"0500000US09005","Litchfield County, Connecticut","184279","176292","2556","935","2558","101","1837"
"0500000US09007","Middlesex County, Connecticut","157642","143574","7833","880","2952","135","2268"
"0500000US09009","New Haven County, Connecticut","843013","667536","100685","5783","21864","911","46234"
"0500000US09011","New London County, Connecticut","266705","230777","16774","4966","6412","411","7365"
"0500000US09013","Tolland County, Connecticut","138370","127434","4341","847","3568","130","2050"
"0500000US09015","Windham County, Connecticut","111308","101416","2628","1275","1176","110","4703"
"0500000US10001","Kent County, Delaware","129780","95159","27678","1637","2783","177","2346"
"0500000US10003","New Castle County, Delaware","508981","371858","105052","2914","14685","367","14105"
"0500000US10005","Sussex County, Delaware","158891","127408","24422","1518","1476","127","3940"
"0500000US11001","District of Columbia, District of Columbia","586907","184309","350455","4775","17956","785","28627"
"0500000US12001","Alachua County, Florida","222724","163741","43651","1681","8885","230","4536"
"0500000US12003","Baker County, Florida","22482","18895","3157","196","125","12","97"
"0500000US12005","Bay County, Florida","151295","127243","16536","2280","3424","263","1549"
"0500000US12007","Bradford County, Florida","26434","20160","5518","219","220","49","268"
"0500000US12009","Brevard County, Florida","485268","420406","42635","4102","9503","716","7906"
"0500000US12011","Broward County, Florida","1679990","1175608","360611","8140","45601","3086","86944"
"0500000US12013","Calhoun County, Florida","13210","10569","2091","259","102","16","173"
"0500000US12015","Charlotte County, Florida","143342","132367","6786","777","1535","140","1737"
"0500000US12017","Citrus County, Florida","119400","113406","3037","1044","1116","88","709"
"0500000US12019","Clay County, Florida","143860","125422","10214","1515","3714","274","2721"
"0500000US12021","Collier County, Florida","257138","219705","13778","1354","2095","286","19920"
"0500000US12023","Columbia County, Florida","57378","45719","9864","677","483","84","551"
"0500000US12027","DeSoto County, Florida","32707","23989","4216","649","169","38","3646"
"0500000US12029","Dixie County, Florida","13982","12408","1277","144","48","10","95"
"0500000US12031","Duval County, Florida","795313","524485","221858","5950","25807","1321","15892"
"0500000US12033","Escambia County, Florida","301204","218298","64756","5232","8520","735","3663"
"0500000US12035","Flagler County, Florida","50624","44086","4668","358","729","41","742"
"0500000US12037","Franklin County, Florida","11212","9116","1832","137","38","7","82"
"0500000US12039","Gadsden County, Florida","45516","17730","25921","232","170","29","1434"
"0500000US12041","Gilchrist County, Florida","14629","13231","1048","165","41","3","141"
